,Id,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,Authority,Hub,componentnumber,strongcompnum,clustering,eigencentrality,screen_name
637,PeteWillTweet,1,0,1,865,0,865,0,0,0,0,21,4.70E-05,0.000832,0,0,759,0,0.005761,LucyHurds
638,Sumaddock,2,0,2,1442,0,1442,0,0,0,0,1,4.90E-05,0.000994,0,0,758,0,0.015172,ChibahKatherine
639,N_Vargesson,1,0,1,128,0,128,0,0,0,0,21,4.70E-05,0.000832,0,0,757,0,0.005761,PriskMark
640,alhosansylhet,2,0,2,728,0,728,0,0,0,0,21,4.80E-05,0.006132,0,0,756,0,0.015172,geekofhearts
641,MadeleineMoon,0,31,31,0,92508,92508,1,1,1,0,68,4.60E-05,0,0.008784,0,832,0,0,FionaHallEU
642,jeanniephil,1,0,1,376,0,376,0,0,0,0,68,4.70E-05,0.000631,0,0,831,0,0.005761,StephenCrosher
643,likefairtrade,1,0,1,17,0,17,0,0,0,0,68,4.70E-05,0.000631,0,0,830,0,0.005761,Keir_Starmer
644,AlStill,1,0,1,935,0,935,0,0,0,0,68,4.70E-05,0.000631,0,0,829,0,0.005761,KristyAdamsBlue
645,HaileyNash10,1,0,1,795,0,795,0,0,0,0,68,4.70E-05,0.000631,0,0,828,0,0.005761,pbullenUKIP
646,mperfectLabour,1,0,1,1158,0,1158,0,0,0,0,68,4.70E-05,0.000631,0,0,827,0,0.005761,RichBJC
647,DSEDunn,1,0,1,1380,0,1380,0,0,0,0,68,4.70E-05,0.000631,0,0,826,0,0.005761,mgrobb
648,CateMosse,3,0,3,2663,0,2663,0,0,0,0,75,5.20E-05,0.00103,0,0,825,0,0.022078,NBelfitt
649,spirotte,1,0,1,831,0,831,0,0,0,0,68,4.70E-05,0.000631,0,0,824,0,0.005761,VixL
650,annangell14,1,0,1,94,0,94,0,0,0,0,68,4.70E-05,0.000631,0,0,823,0,0.005761,jeremycorbyn
651,RobBowers1,1,0,1,103,0,103,0,0,0,0,68,4.70E-05,0.000631,0,0,822,0,0.005761,MrKeithFraser
